Top-level category,Long name,Short name,Common Standard Name,Abbreviation used in ePLANT,Unit,Short definition (140 characters),Long definition,Definition CF 1.6,Standard name (Reference),URL (Standard name),Label
Pressure,NA,slope_as_function_of_area,,BLCslope,dimensionless,,"Computed variable. One-sided boundary layer conductance to water vapour is computed from a function of leaf area, the slope and offset of boundary layer to water vapour.",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,offset_as_function_of_area,,BLCoffst,dimensionless,,"Computed variable. One-sided boundary layer conductance to water vapour is computed from a function of leaf area, the slope and offset of boundary layer to water vapour.",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,real_time_clock,,HHMMSS,HH:MM:SS,,Time of day is shown as an 8 character string containing HH:MM:SS on a 24 hour basis.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,in_chamber_leaf_area,,Area,cm2,,Area occupied by the leaf in the chamber. Maximum = 6 cm2,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,obs,,Obs,dimensionless,,The number of observations that have been stored since the log file was last opened.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,time_since_logging_started,,Ftime,seconds,,Time since logging started,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,open_version,,------,NA,,LICOR system version,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,oxygen_concentration,,Oxygen%,%,,Measured variable. Part of CO2 band broadening correction.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,do_energy_balance,,Ebal?,dimensionless,,The system constant Ebal? controls whether or not an energy balance computation is done.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,boundary_layer_cond,,BLCond,mol m-2 s-1,,Computed variable. Total boundary layer conductance for the leaf (includes stomatal ratio),,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,stomatal_ratio,,StmRat,dimensionless,,Estimate of the ratio of stomatal conductance of one side of the leaf to the other,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,Photo_A,,Photo,_mol CO2 m-2 s-1,,Computed variable. Photosynthetic rate. The mass balance of CO2 in an open system. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,Cond_gs,,Cond,mol H2O m-2 s-1,,Computed variable. Conductance to H20. The stomatal conductance to water vapour is obtained from the total conductance by removing the contribution from the boundary layer. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,intercellular_CO2_ci,,Ci,_mol CO2 mol-1,,Computed variable. Intercellular CO2 concentration. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,trans_trmmol,,Trmmol,mmol H2O m-2 s-1,,Computed variable. Transpiration rate. The mass balance of water vapour in an open system. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,leaf_vpd_vpdl,,VpdL,kPa,,Computed variable. Vapour pressure deficit based on Leaf temperature. This is the difference in vapour pressure between leaf and what is actually in the air.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,air_vpd_vpda,,VpdA,kPa,,Computed variable. Vapour pressure deficit based on chamber air temperature. This is the difference in vapour pressure between chamber air and what is actually in the air.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,comp_leaf_temp,,Tleaf,ÁC,,Computed leaf temp. Same as Tleaf unless doing energy balance.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,one_sided_boundary_layer_cond,,BLC_1,mol m-2 s-1,,Computed variable.  One sided BL cond.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,sample_CO2_offset,,CsMch,_mol mol-1,,Computed variable.  Sample CO2 offset.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,sample_H2O_offset,,HsMch,mmol mol-1,,Computed variable.  Sample H2O offset.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,reference_CO2_offset,,CrMch,_mol mol-1,,Computed variable.  Reference CO2 offset.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,reference_H2O_offset,,HrMch,mmol mol-1,,Computed variable.  Reference H2O offset.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,stable_F,,StableF,dimensionless,,"Numerical value for Stable (stability). Shows the fraction of he number of stable variables (CO2S, H2OS, Flow) (e.g. Stable 1/3; 2/3; 3/3).",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,f_parin,,f_parin,dimensionless,,Constant. Fraction of PARi to use for EB (energy balance).,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,f_parout,,f_parout,dimensionless,,Constant. Fraction of PARo to use for EB (energy balance),,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,alphak,,alphaK,dimensionless,,Constant. Radiation conversion factors times absorption coefficients. Used in the conversion of _mol mol-1 to W m-2. Used for EB (energy balance).,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,status,,Status,dimensionless,,"This is a six digit numerical composite of the status flags. ñCHPWMFî is respectively: CO2 IRGAs; H2O IRGAs; Pump; Flow Control; CO2 Mixer; Chamber Fan. Number (1) means OK, number (0) means OFF, other numbers have variable meanings.",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,fda,,fda,_mol mm-2 s-1,,Computed variable. Ratio of Flow per area with units conversion,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Pressure,NA,trans,,Trans,mol H2O m-2 s-1,,Computed variable. Transpiration rate. The mass balance of water vapour in an open system. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,leaf_temp_kelvin,,Tair_K,K,,"Measured variable. Leaf temperature is measured with a chromel-constantan thermocouple junction. The reference junction is the IRGA block, whose temperature is known.",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,air_temp_kelvin_twall_k,,Twall_K,K,,Measured variable. Air temperature is computed from the signal of a linearized thermistor located just beneath the circulation fan in the sample IRGA.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,R_w_m2,,R(W/m2),W m-2,,Computed variable. Incoming radiation. PARi corrected by f_parin summed to PARo corrected by f_parout times alphaK.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,energy_balance_delta_t_tl_ta,,Tl-Ta,ÁC,,Computed variable. Energy balance delta t. Delta t is used in EB (energy balance) and computes the leaf-air temperature difference.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,leaf_temp_energy_balance_ctleaf,,CTleaf,ÁC,,Computed leaf temp. Same as Tleaf unless doing energy balance.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,saturation_vapour_pressure_of_leaf_temp_svtleaf,,SVTleaf,kPa,,Computed variable. Saturation Vapour Pressure of leaf temperature (Tleaf),,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,intercellular_H2O_h2o_i,,h2o_i,mol H2O mol-1,,Computed variable. Intercellular H2O concentration.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,difference_intercellular_sample_H20_H2OS_h20diff,,h20diff,mmol mol-1,,Computed variable. Difference between Interecellular H2O and sample H2O.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,chamber_air_temp_energy_balance,,CTair,ÁC,,Computed chamber air temp. Same as Tair unless doing energy balance.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,saturation_vapour_pressure_of_chamber_air_temp_svtair,,SVTair,kPa,,Computed variable. Saturation Vapour Pressure of air temperature in the chamber (Tair),,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,total_cond_gs_cndtotal,,CndTotal,mol H2O m-2 s-1,,Computed variable. Conductance to H20. The total conductance to water vapour is obtained from the stomatal conductance and from the contribution of the boundary layer. ,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,vp_kPa,,Vp_kPa,kPa,,Computed variable. Vapour pressure chamber air: H2OS times Press with units conversion ,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,total_cond_to_CO2_gs_cndco2,,CndCO2,mol H2O m-2 s-1,,Computed variable. Total conductance to CO2. Input to calculate intercellular CO2.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,ci_Pa,,Ci_pa,Pa,,Computed variable. Intercellular CO2 concentration. The equation is essentially derived from von Caemmerer and Farquhar 1981.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,ci_ca,,Ci/Ca,dimensionless,,Computed variable. Ratio of partial intercellular to ambient CO2 concentration.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,rhsfc_surface_humidity,,RHsfc,%,,Computed variable. Surface Humidity.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,c2sfc_surface_CO2,,C2sfc,_mol mol-1,,Computed variable. Surface CO2.,,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,NA,ahs_cs_ball_berry_parameter,,AHs/Cs,mol H2O m-2 s-1,,"Computed variable. Ball-Berry parameter. A function of function photo, leaf surface, relative humidity, leaf surface CO2 concentration, and conductance.",,,,"label = key words for meta (Diver) search funtion e.g. leaf area, photosynthesis, maximum, CO2, Nitrogen"
Temperature,,,,,,,,,,,
