Standard_Name,Definition_Standard_Name,Reference_Definition_Standard_Name,Short_Name,Definition_Short_Name,Reference_Definition_Short_Name,Long_Name,Definition_Long_Name,Reference_Definition_Long_Name,Variable_Name,Definition_Variable_Name,Reference_Definition_Variable_Name,Project,,,,,,,Product,Extension,Product Origin,Product_code,Long Definition (Reference),,,z,,,Definition CF 1.6,Definition 'Glossary of Weather and Climate' 
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of driest quarter,Annual mean precipitation of driest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Driest Quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is lower than any other set of 3 consecutive months.,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of driest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of driest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Driest Quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of warmest quarter,Annual mean precipitation of warmest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Warmest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is higher than any other set of 3 consecutive months. ,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of warmest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of warmest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Warmest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of wettest month,Annual mean precipitation of wettest month for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling.,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of wettest month: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of wettest month for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual 1976-2005 mean precipitation of wettest quarter,Annual mean precipitation of wettest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Wettest quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is higher than any other set of 3 consecutive months. ,Dr. Bradley Evans,"Annual 1976-2005 mean precipitation of wettest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage",Annual mean precipitation of wettest quarter for the Australian continent for the baseline climatic average of monthly 1976-2005 data. Wettest quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual precipitation,Annual precipitation for the Australian continent. ,Dr. Bradley Evans,"Annual precipitation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual precipitation for the Australian continent. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Mean annual precipitation,Mean annual precipitation for the Australian continent,Dr. Bradley Evans,"Mean annual precipitation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Mean annual precipitation for the Australian continent. Modelled using eMAST-R-Package 2.0.,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual Aridity Index,"Annual Cramer-Prentice ""Alpha"" for the Australian continent",Dr. Bradley Evans,"Aridity index: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012","Annual Cramer-Prentice ""Alpha"" for the Australian continent. Modelled using eMAST-R-Package 2.0.",,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly Aridity Index,"Monthly Cramer-Prentice ""Alpha"" for the Australian continent",Dr. Bradley Evans,"Aridity index: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012","Monthly Cramer-Prentice ""Alpha"" for the Australian continent. Modelled using eMAST-R-Package 2.0.",,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Daily total precipitation,Daily total accumalted precipitation for the Australian continent between 1970 and 2012. Daily rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modeling.,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Daily total precipitation: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Daily total precipitation for Australian continent between 1970-2012. Daily rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling.  Modelled by expressing each daily value, including zero rainfall, as a normalised anomaly with respect to the gridded 1976-2005 mean for each month, as provided by eMAST_ANUClimate_mmn_rain_v1m0_1976_2005. The daily anomalies were interpolated by trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation using ANUSPLIN Version 4.5. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0. There was an average of 6438 Bureau of Meteorology data points per day between 1970 and 2012. The mean absolute value of all individual cross validation residuals provided by the spline analysis is 0.96 mm (50% of the overall mean). Extreme studentised residuals clearly identified data errors associated with unrecognised missing values, unrecognised accumulated values, and values recorded on the wrong (usually preceding) day. There were on average around 5 such extreme residuals per day. These data errors will be removed in Version 1.1 of these grids with minor improvement in error statistics. The rainfall occurrence of the individual cross validated days agrees with the rainfall occurrence of 90.5% of all days of record, where daily rainfall occurrence is defined as rainfall exceeding 0.2 mm. A comprehensive assessment of the analysis and the factors contributing to the quality of the final interpolated monthly rainfall grids is in preparation.",,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly Moisture index,Monthly Moisture Index for the Australian continent ,Dr. Bradley Evans,"Moisture index: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly moisture index for the Australian continent. Modelled using eMAST-R-Package 2.0.,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual Moisture Index,Annual Moisture Index for the Australian continent ,Dr. Bradley Evans,"Moisture index: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual moisture index for the Australian continent. Modelled using eMAST-R-Package 2.0.,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly 1976-2005 mean precipitation,"Monthly mean total precipitation for the Australian continent between 1976 and 2005. Modelled by fitting trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation to the square roots of observed and estimated monthly 1976 to 2005 rainfall means at 11,697 Bureau of Meteorology stations.","Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly 1976-2005 mean precipitation: ANUClimate 1.0, 0.01 degree, Australian Coverage","Monthly mean total precipitation for the Australian continent between 1976-2005. Modelled by fitting a trivariate thin plate smoothing spline function of longitude, latitude and vertically exaggerated elevation to the square roots of observed and estimated monthly 1976-2005 rainfall means at 11,697 Bureau of Meteorology stations. Missing monthly precipitation values were estimated by regression with the long term station that provided estimates of the 1976-2005 monthly means with with the least standard error. This was applied to each station with at least 10 years of record between 1931 and 2012. Automated quality controls were applied to the regression process to remove poor quality data. Thus, an average of 66 values per month were removed, giving an average of 11631 data points for each month. These were commonly associated with stations with an old or short period of record, or with an imprecise location. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0. The mean absolute error of individual cross validation residuals provided by the spline analysis at 3518 stations with near complete records, of at least 28 years, is 3.9 mm (6.6% of the mean). A comprehensive assessment of the analysis and the factors contributing to the quality of the final interpolated monthly mean precipitation grids is in preparation.",,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly total precipitation,Monthly total accumulated precipitation of each month for the Australian continent between 1970 and 2012. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modeling. ,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly total precipitation: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Monthly total precipitation of each month, for the Australian continent between 1970-2012. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling. Modelled by expressing each monthly value as a normalised anomaly with respect to the gridded 1976-2005 mean for each month as provided by eMAST_ANUClimate_mmn_rain_v1m0_1976_2005. The monthly anomalies were interpolated by trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation using ANUSPLIN Version 4.5. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0. Monthly data values were calculated from Bureau of Meteorology daily data at stations where there were no missing observations and any accumulated records were wholly within the month, giving an average of 6410 data points per month between 1970 and 2012. Automated quality assessment rejected on average 16 data values per month (0.2%) with extreme studentised residuals. The mean absolute value of all individual cross validation residuals provided by the spline analysis is 10.9 mm (18% of the overall mean). A comprehensive assessment of the analysis and the factors contributing to the quality of the final interpolated monthly rainfall grids is in preparation.",,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of coldest quarter,Precipitation of coldest quarter for the Australian continent. Mean temperature of coldest quarter for the Australian continent. Coldest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is lower than any other set of 3 consecutive months. ,Dr. Bradley Evans,"Precipitation of coldest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of coldest quarter for the Australian continent. Mean temperature of coldest quarter for the Australian continent. Coldest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of driest month,Precipitation of driest month for the Australian continent.,Dr. Bradley Evans,"Precipitation of driest month: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of driest month for the Australian continent. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of driest quarter,Precipitation of driest quarter for the Australian continent. Driest Quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is lower than any other set of 3 consecutive months.,Dr. Bradley Evans,"Precipitation of driest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of driest quarter for the Australian continent. Driest Quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of warmest quarter,Precipitation of warmest quarter for the Australian continent. Warmest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is higher than any other set of 3 consecutive months.,Dr. Bradley Evans,"Precipitation of warmest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of warmest quarter for the Australian continent. Warmest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of wettest month,Precipitation of wettest month for the Australian continent. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling. ,Dr. Bradley Evans,"Precipitation of wettest month: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of wettest month for the Australian continent. Monthly rainfall totals are useful for estimation of soil moisture for plant growth and surface runoff via soil water balance modelling. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation of wettest quarter,Precipitation of wettest quarter for the Australian continent. Wettest quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is higher than any other set of 3 consecutive months.,Dr. Bradley Evans,"Precipitation of wettest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Precipitation of wettest quarter for the Australian continent. Wettest quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Precipitation seasonality,Precipitation seasonality (coefficient of variation) for the Australian continent.,Dr. Bradley Evans,"Monthly precipitation seasonality (coefficient of variation): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly precipitation seasonality (coefficient of variation) for the Australian continent. Modelled using eMAST-R-Package 2.0,,lwe_thickness_of_precipitation_amount,"""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Proportion of days per month with precipitation above 0.2 mm,"Proportion of days in each month with precipitation above 0.2 mm for the Australian continent between 1970-2012. The proportion of wet days per month is useful for estimating evaporation rates and water need and use, and also for estimating solar radiation.","Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Proportion of days per month with precip > 0.2mm : ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Proportion of days in each month with precipitation above 0.2 mm for the Australian continent between 1970-2012. The proportion of wet days per month is useful for estimating evaporation rates and water need and use, and also for estimating solar radiation. Modelled by using ANUSPLIN Version 4.5 to fit trivariate thin plate smoothing spline functions of longitude, latitude and vertically exaggerated elevation. Station elevations were 0.05 degree local averages of grid values from the GEODATA 9 second DEM version 3 as provided by eMAST_ANUClimate_fx_el05_v1m0. Anomaly based interpolation was not used because it gave no improvement over direct interpolation, due to the extensive daily precipitation network and the strong spatial coherence of daily rainfall occurrence. Monthly data values were obtained from Bureau of Meteorology daily rainfall data at stations where there were at least 25 days of record and no accumulated days of record, giving an average of 6320 data points per month between 1970 and 2012. Automated quality assessment rejected on average 35 data values per month (0.006%) with extreme studentised residuals. The root mean square of all individual cross validation residuals provided by the spline analysis is 0.060, corresponding to a root men square error in estimating the number of wet days of around 1.8 days per month. A comprehensive assessment of the analysis of the final interpolated grids is in preparation.",,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,"""Amount"" means mass per unit area. ""lwe"" means liquid water equivalent. A variable whose standard name has the form number_of_days_with_X_below|above_threshold is a count of the number of days on which the condition X_below|above_threshold is satisfied.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Precipitation,"Precipitation = Any or all forms of water particles, whether liquid or solid, that fall from clouds and reach the ground. Including liquid, freezing and frozen precipitation. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Wet days per month,The number of days with precipitation above 0.2 mm m-2 for the Australian continent between 1970 and 2012. Wet days per month is useful for estimating evaporation rates and water use and need.,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia",?,?,,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,"""Amount"" means mass per unit area. ""lwe"" means liquid water equivalent. A variable whose standard name has the form number_of_days_with_X_below|above_threshold is a count of the number of days on which the condition X_below|above_threshold is satisfied.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual mean radiation,Annual Mean Radiation for the Australian continent.,Dr. Bradley Evans,"Annual mean radiation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual mean radiation for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Fraction of sunlight hours,Annual fraction of sunlight hours for the Australian continent,Dr. Bradley Evans,"Fraction of sunlight hours: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual fraction of sunlight hours for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Highest period radiation,Annual Highest Period Radiation for the Australian continent,Dr. Bradley Evans,"Highest period radiation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual highest period radiation for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
